,Date,HD,PDR,VAR,AVG,VAR70,VAR85,VAR99
247,12/23/2020,269.809998,-0.000852129,0.000804662,0.000832539,266.1429368612189,262.29769239562,252.84002535154264
248,12/24/2020,270.920013,0.004105622,0.000801461,0.000845737,265.9354991938909,262.10692833233117,252.69752469248758
249,12/28/2020,269.25,-0.006183306,0.00079844,0.000817508,267.0454584936498,263.19898455834544,253.75556112579793
250,12/29/2020,266.190002,-0.011429969,0.000795843,0.000768518,265.4062966209542,261.59496650161486,252.20453753035375
251,12/30/2020,265.26001,-0.003499832,0.000792745,0.000751512,262.3716485113778,258.6084881761243,249.36470595482663
252,12/31/2020,265.619995,0.001356182,0.000789601,0.000753912,261.45536948092035,257.7116536426808,248.51145242851513
253,1/4/2021,263.920013,-0.006420621,0.000786682,0.000725554,261.82227855892427,258.08323737028553,248.8988919649137
254,1/5/2021,266.049988,0.00803814,0.000783795,0.000754344,260.151398604004,256.4382681283895,247.35360692067013
255,1/6/2021,267.570007,0.005697025,0.000780817,0.000773727,262.2861271707451,258.5559639968027,249.38413005294703
256,1/7/2021,266.26001,-0.004907928,0.000777892,0.000751533,263.7806161407889,260.0381512926074,250.84349447081345
257,1/8/2021,269.089996,0.010572569,0.000775239,0.000789747,262.48891416526504,258.761260696555,249.6061846890794
258,1/11/2021,271.230011,0.007921329,0.000772431,0.000817389,265.2887525709929,261.53546287983556,252.34851793619794
259,1/12/2021,276.329987,0.018628547,0.000770669,0.000886158,267.4397568324907,263.65584481387634,254.3660657256311
260,1/13/2021,274.049988,-0.008285229,0.000768027,0.000850883,272.4893075792869,268.6473086473225,259.2153186302014
261,1/14/2021,268.339996,-0.021055709,0.000766916,0.00076695,270.2264261217562,266.41187249673203,257.056825463473
262,1/15/2021,275.589996,0.026659421,0.000766538,0.000865776,264.5872899149056,260.85768096626606,251.6369638215465
263,1/19/2021,273.190002,-0.008746708,0.000763973,0.000829227,271.7530766979577,267.9195148477265,258.54738863188794
264,1/20/2021,274.299988,0.004054823,0.000761119,0.000841445,269.3733830952401,265.59063321324385,256.2868021213744
265,1/21/2021,279.049988,0.01716858,0.000759249,0.000903057,270.46949342075715,266.6723075025496,257.3692023668975
266,1/22/2021,284.0,0.017583304,0.000757436,0.000965764,275.1942772132297,271.3404556316197,261.8751911382437
