,Date,BA,PDR,VAR,AVG,VAR70,VAR85,VAR99
197,10/13/2020,162.139999,-0.03162731,0.003593226,-0.003658086,161.30362986062926,156.42385847925672,144.81335814905316
198,10/14/2020,163.240005,0.006761388,0.003575624,-0.003605462,156.2718013545894,151.54056874444436,140.27438952427642
199,10/15/2020,164.240005,0.006107262,0.003558128,-0.003556654,157.3553280684473,152.60050532574508,141.31713063525203
200,10/16/2020,167.350006,0.01875866,0.003542814,-0.003445078,158.3249930344176,153.5458865434861,142.17026558409515
201,10/19/2020,167.110001,-0.001435179,0.003525208,-0.003435078,161.35311545170129,156.52238782748537,144.9440751859922
202,10/20/2020,167.240005,0.000777652,0.003507844,-0.003414223,161.1538264423717,156.32198099181946,144.8066154526454
203,10/21/2020,163.860001,-0.020417526,0.003491981,-0.003497983,161.2920531878232,156.47286705096803,144.99663711451228
204,10/22/2020,169.070007,0.031300461,0.003480771,-0.003327403,158.0221682535489,153.3209535246713,142.0965127331843
205,10/23/2020,167.360001,-0.010165685,0.003464018,-0.00336076,163.1189272647585,158.25262593407246,146.68805974768196
206,10/26/2020,160.830002,-0.039799268,0.003453617,-0.003537646,161.4667629606319,156.6610387271914,145.2416207002341
207,10/27/2020,155.240005,-0.03537558,0.003441806,-0.003691453,155.12308513326167,150.53696102000603,139.56382902672442
208,10/28/2020,148.139999,-0.046814573,0.003434156,-0.003898775,149.71496094379137,145.29367171603164,134.6843366113033
209,10/29/2020,148.289993,0.001012003,0.00341784,-0.003875279,142.8279489693698,138.61563328227058,128.50913826897812
210,10/30/2020,144.389999,-0.026651804,0.003404023,-0.003983738,143.0237054013276,138.80922906098775,128.708966773105
211,11/2/2020,148.600006,0.028740208,0.003392941,-0.003828649,139.24398854238143,135.143857097252,125.34318670086492
212,11/3/2020,153.649994,0.033419077,0.00338345,-0.003652952,143.3235885815296,139.1083912536205,129.08702805321056
213,11/4/2020,151.630005,-0.013233874,0.003367994,-0.003697933,148.24495149084103,143.90747038920162,133.50528846457019
214,11/5/2020,157.089996,0.035375488,0.003359357,-0.003515346,146.3038048154701,142.03547206161517,131.8070652571637
215,11/6/2020,157.740005,0.004129276,0.003344003,-0.00347979,151.6081375212409,147.17594485271687,136.56074245332374
216,11/9/2020,179.360001,0.128446825,0.003408725,-0.002869019,152.2755112554681,147.8274113543802,137.15260604084372
217,11/10/2020,188.690002,0.050710502,0.003406185,-0.002622108,173.12795517093542,168.02661830264603,155.79900538179317
218,11/11/2020,182.149994,-0.035274977,0.003395429,-0.002771892,182.224699287633,176.88147472916268,164.06602962176046
219,11/12/2020,176.720001,-0.030263926,0.00338336,-0.002897427,175.8732013995675,170.72443068856182,158.29835365344718
220,11/13/2020,187.110001,0.05713012,0.003384285,-0.002624574,170.6212462109694,165.6055609876413,153.64527582295275
221,11/16/2020,202.399994,0.078549223,0.003398652,-0.002257272,180.70722501325906,175.40449738143485,162.7139975939808
222,11/17/2020,210.050003,0.037099704,0.003390289,-0.002079988,195.55223743676623,189.79845212490247,176.0228351556298
223,11/18/2020,203.300003,-0.032662877,0.003379261,-0.002217131,203.00253651891657,197.0144983361063,182.81558564688424
224,11/19/2020,205.669998,0.011590197,0.003365023,-0.002155491,196.42366378587081,190.66031908143557,176.92252684936517
225,11/20/2020,199.619995,-0.029857399,0.003353462,-0.002278611,198.71235761233115,192.89732681595032,178.960633590993
226,11/23/2020,211.529999,0.057951293,0.003354605,-0.002012107,192.86045373827298,187.21242451242026,173.7260088851413
227,11/24/2020,218.490005,0.032373442,0.003345012,-0.001860629,204.45127121760453,198.45838723705333,184.19751932140912
228,11/25/2020,217.610001,-0.004035795,0.003330362,-0.001870169,211.21472869421163,205.0434202461644,190.3370536292557
229,11/27/2020,216.5,-0.005113927,0.003315864,-0.001884334,210.38670770329884,204.26943554817524,189.60279635685123
230,11/30/2020,210.710007,-0.027107734,0.003304202,-0.001994001,209.31188466622103,203.22208910068292,188.64285661080905
231,12/1/2020,213.009995,0.010856276,0.00329061,-0.001938372,203.70355826753627,197.78165753130307,183.6250955434203
