,Date,BBY,PDR,VAR,AVG,VAR70,VAR85,VAR99
227,11/24/2020,113.540001,-0.072193661,0.001157137,0.001157226,120.01247248589013,117.9610080288228,112.93680942774797
228,11/25/2020,113.900002,0.003165681,0.001152079,0.001166035,111.5964395097547,109.66468341981519,104.97086989488061
229,11/27/2020,112.629997,-0.011212805,0.001147715,0.001111979,111.96269681323916,110.03358575892443,105.31150774696603
230,11/30/2020,108.800003,-0.034596721,0.001148244,0.000956723,110.70661969188083,108.79795208526876,104.14473255759786
231,12/1/2020,108.860001,0.0005513,0.001143274,0.000954968,106.9223383624213,105.08147463551498,100.57541837925481
232,12/2/2020,107.470001,-0.012850914,0.001139165,0.00089546,106.9970298148995,105.1586351511677,100.66703739286974
233,12/3/2020,106.540001,-0.008691237,0.001134668,0.000854316,105.62633376267505,103.81667477290327,99.38464939535965
234,12/4/2020,105.57,-0.009146271,0.001130245,0.000811578,104.70156460759516,102.90849031415262,98.53481202329392
235,12/7/2020,102.730003,-0.027270024,0.001128777,0.000692082,103.75134996485828,101.98162692907553,97.65668627004052
236,12/8/2020,102.989998,0.00252766,0.001124008,0.00069986,100.95106715481994,99.23844031498444,95.03514428497571
237,12/9/2020,104.760002,0.017040162,0.001120387,0.000768806,101.20793434343997,99.48815181268235,95.27724831797173
238,12/10/2020,103.029999,-0.01665184,0.001116949,0.00069561,102.9515192077851,101.20937577241465,96.90800697466143
239,12/11/2020,100.599998,-0.02386796,0.00111479,0.000592834,101.25434587508914,99.52715362349215,95.32348558248013
240,12/14/2020,101.279999,0.006736711,0.001110302,0.000618433,98.85619417588082,97.18007464439334,93.08415394337031
241,12/15/2020,102.989998,0.016742928,0.001106769,0.00068534,99.52336632895562,97.84326925860306,93.72909774080995
242,12/16/2020,103.5,0.004939736,0.00110227,0.00070292,101.21871592658243,99.50971412837684,95.3225618942472
243,12/17/2020,102.339996,-0.011271048,0.001098321,0.000653644,101.73611718114559,100.01177468540448,95.83289797057196
244,12/18/2020,101.949997,-0.003818097,0.001093902,0.000635318,100.59453663347752,98.90292557592343,94.76138386828595
245,12/21/2020,103.300003,0.013154938,0.001090074,0.000686418,100.20954539409504,98.52420204057863,94.40756564091359
246,12/22/2020,104.129997,0.008002685,0.001085859,0.000716159,101.53658785246249,99.83632679096314,95.66140742830237
247,12/23/2020,102.339996,-0.017339525,0.001082778,0.000643059,102.37088725046213,100.65023199164457,96.46671396187928
248,12/24/2020,102.550003,0.002049949,0.00107842,0.000648732,100.6095467347466,98.92337878863805,94.79489243014025
249,12/28/2020,102.580002,0.000292488,0.001074089,0.000647301,100.81118407826439,99.12729204701334,95.00601050576361
250,12/29/2020,100.760002,-0.01790153,0.001071164,0.000573106,100.83704545378924,99.16248196049062,95.06690367568363
251,12/30/2020,101.379997,0.006134332,0.001067019,0.000595262,99.0485359744138,97.40430018696311,93.35972440161524
252,12/31/2020,99.790001,-0.015807816,0.001063848,0.000530171,99.6601048251897,98.01058408873884,93.97054276438044
253,1/4/2021,100.489998,0.006990212,0.001059807,0.000555704,98.09393299244958,96.47291809703685,92.50190990317843
254,1/5/2021,101.0,0.005062317,0.001055714,0.000573447,98.78910818829708,97.15931933983839,93.1670316214962
255,1/6/2021,105.910004,0.047469198,0.001060165,0.000757352,99.30030307133295,97.66335958788875,93.66917105086314
256,1/7/2021,107.709999,0.016852706,0.001057032,0.000820224,104.14714699092308,102.42592906701763,98.22777891685892
257,1/8/2021,107.57,-0.001300623,0.001052936,0.000811972,105.9194559013349,104.17309365459496,99.88378165594894
258,1/11/2021,110.779999,0.029404445,0.001052011,0.000922796,105.78973989692824,104.05016161590352,99.77032700189562
259,1/12/2021,114.709999,0.034860952,0.00105238,0.001053831,108.9570616240987,107.16427472283164,102.75247588359247
260,1/13/2021,113.220001,-0.013074358,0.001049097,0.000999492,112.83027671686374,110.97059275193922,106.43449854263923
261,1/14/2021,113.919998,0.006163593,0.001045179,0.001019278,111.36366636024377,109.52274869647998,105.0579284139721
262,1/15/2021,114.0,0.000702018,0.00104119,0.001018067,112.06623204221455,110.23369777122984,105.72037558631227
263,1/19/2021,111.620003,-0.021098176,0.001039084,0.000933974,112.13651564243749,110.30337726055005,105.80960530977188
264,1/20/2021,112.230003,0.005450092,0.001035225,0.000951081,109.79482320466933,108.00153429762679,103.61375025003542
265,1/21/2021,114.5,0.020024459,0.001032686,0.001023056,110.40394934876032,108.59620134368221,104.19314795787629
