,Date,GOOG,PDR,VAR,AVG,VAR70,VAR85,VAR99
239,12/11/2020,89.088501,0.00362092,0.000611045,0.001107607,87.69257705649423,86.58210473127386,83.85113928112207
240,12/14/2020,88.002998,-0.012259387,0.00060924,0.001051911,88.01418743264632,86.90395663897483,84.183051784721
241,12/15/2020,88.388496,0.004370943,0.000606758,0.001065683,86.93515845365286,85.84498425724134,83.14921268656724
242,12/16/2020,88.150002,-0.002701894,0.000604309,0.001050115,87.31950403690453,86.22333809894747,83.52906621840472
243,12/17/2020,87.394997,-0.008601893,0.000602204,0.001010394,87.0841321259081,85.99436225201254,83.31202802727182
244,12/18/2020,86.550499,-0.009709991,0.000600205,0.000966458,86.33415915587966,85.2582485893635,82.60866752716142
245,12/21/2020,86.968498,0.004817914,0.000597815,0.000982179,85.50436438162885,84.4372272827533,81.82350156367175
246,12/22/2020,86.175003,-0.009165814,0.000595802,0.000940927,85.92051678411819,84.85037830190342,82.21774747062078
247,12/23/2020,86.619003,0.005139078,0.000593461,0.000957923,85.13600870599305,84.07725524264104,81.4754810985095
248,12/24/2020,86.942497,0.00372772,0.000591099,0.000969092,85.5757421456218,84.51337856038394,81.90719936014258
249,12/28/2020,88.804497,0.021190345,0.00059036,0.001050302,85.89909771234886,84.83419573437688,82.20987584023756
250,12/29/2020,87.935997,-0.009828048,0.00058847,0.001006788,87.74560897141205,86.66056872356988,83.99817904216859
251,12/30/2020,86.975998,-0.010977048,0.000586696,0.000959044,86.88839071891272,85.81759531005305,83.17577176329408
252,12/31/2020,87.594002,0.00708033,0.000584516,0.000983335,85.93564422650661,84.87243996931909,82.2683239117129
253,1/4/2021,86.412003,-0.013585936,0.000583041,0.000925749,86.55091774209156,85.48290578896486,82.8679202576299
254,1/5/2021,87.045998,0.007310102,0.000580905,0.000950884,85.38091648926721,84.33119546088567,81.7462388297216
255,1/6/2021,86.764503,-0.003239105,0.000578696,0.000934453,86.00857840103147,84.94671408472884,82.35174889466278
256,1/7/2021,89.362503,0.029503578,0.000579611,0.001046051,85.72908701392222,84.67688499936497,82.098631808223
257,1/8/2021,90.360497,0.011106027,0.000577748,0.001085195,88.30997318040293,87.22429767304536,84.55524404860735
