,Date,MCD,PDR,VAR,AVG,VAR70,VAR85,VAR99
607,5/31/2022,252.210007,0.00134904,0.00033638,0.000375622,249.50455827488142,247.1724678782135,241.36697547881286
608,6/1/2022,249.279999,-0.011685343,0.000336066,0.000355785,249.84646832567657,247.51743510627108,241.7192439915822
609,6/2/2022,250.380005,0.004403025,0.000335541,0.000362431,246.9465825207702,244.63666156235638,238.93355201748383
610,6/3/2022,248.360001,-0.008100473,0.000335108,0.000348557,248.02246289991433,245.71436782425212,239.97668029665485
611,6/6/2022,248.070007,-0.001168318,0.000334564,0.000346074,246.02665663948002,243.73360977542492,238.04334984196504
612,6/7/2022,248.940002,0.003500919,0.000334033,0.000351229,245.74305735231897,243.45027121423786,237.78645662133235
613,6/8/2022,245.610001,-0.013466995,0.000333799,0.000328687,246.60034372562475,244.30984182730933,238.5864426400051
614,6/9/2022,242.160004,-0.014146235,0.000333596,0.000305113,243.30327732432235,241.03476674616115,235.42362005207653
615,6/10/2022,237.380005,-0.019936428,0.000333719,0.0002722,239.88688658543686,237.65775550543134,232.13148877866456
616,6/13/2022,238.470001,0.004581267,0.000333207,0.000279195,235.13505920422105,232.9545396461221,227.54432197471107
617,6/14/2022,238.759995,0.001215322,0.000332669,0.000280712,236.2255140135732,234.03219251224547,228.5910699901957
618,6/15/2022,238.899994,0.000586187,0.00033213,0.000281206,236.51413848092952,234.3110348263986,228.87531199331005
619,6/16/2022,235.190002,-0.015651323,0.000332003,0.000255467,236.66014497966088,234.46667100352934,229.00996526827174
620,6/17/2022,234.380005,-0.003449955,0.00033149,0.000249491,232.98236527644983,230.81333952535078,225.45959318511308
621,6/21/2022,239.589996,0.021985361,0.000331716,0.000284492,232.17464272859937,230.02032268748056,224.68604124235353
622,6/22/2022,243.059998,0.014379206,0.000331501,0.000307152,237.33132225306468,235.13282025563055,229.67675888111197
623,6/23/2022,243.580002,0.002137121,0.000330975,0.00031009,240.78372493072908,238.54789015641683,233.01656451944365
624,6/24/2022,247.899994,0.017579976,0.000330921,0.000337766,241.30405434201896,239.06865559349347,233.50275231698
625,6/27/2022,247.029999,-0.003515632,0.000330416,0.0003316,245.58647677536194,243.3213002859676,237.69564319184113
626,6/28/2022,242.830002,-0.017148164,0.000330375,0.000303677,244.7223577051841,242.4602093121035,236.85794349864375
627,6/29/2022,247.740005,0.020018211,0.000330467,0.00033512,240.55248233218342,238.334690620652,232.79792995565685
628,6/30/2022,246.880005,-0.00347742,0.000329964,0.000329049,245.42948021258024,243.15739662276576,237.51592160554594
629,7/1/2022,252.960007,0.024328992,0.000330354,0.000367205,244.57003292446117,242.30195124603716,236.69117268797746
630,7/5/2022,252.289993,-0.002652209,0.000329844,0.000362412,250.61386091449424,248.2961783076565,242.55717296057608
631,7/6/2022,251.460007,-0.003295233,0.000329342,0.000356616,249.95108379024674,247.6402124352897,241.89576411727282
632,7/7/2022,252.940002,0.005868355,0.000328869,0.000365337,249.13372894307972,246.83215561980765,241.1200038979464
633,7/8/2022,253.240005,0.001185361,0.000328351,0.000366632,250.57836310173886,248.26033175384254,242.50999970198112
634,7/11/2022,253.279999,0.000157917,0.000327833,0.000366303,250.9002947738898,248.58401385584398,242.84922252300157
635,7/12/2022,251.479996,-0.007132145,0.000327405,0.000354494,250.94727268279507,248.62585712707565,242.89973777448537
636,7/13/2022,252.669998,0.004720834,0.00032692,0.00036136,249.15055888528863,246.8457238918512,241.15415888867193
637,7/14/2022,252.600006,-0.000277048,0.000326407,0.000360357,250.33062019557008,248.02607728732903,242.32697735347517
638,7/15/2022,255.009995,0.009495507,0.000326026,0.000374676,250.26767271743174,247.95487901671368,242.237671917349
639,7/18/2022,252.419998,-0.010208382,0.000325691,0.000358114,252.65596134256612,250.329145601682,244.5988908511281
640,7/19/2022,256.5,0.016034306,0.000325566,0.000382608,250.08826661852197,247.7902983171011,242.07849097267783
641,7/20/2022,254.580002,-0.007513528,0.000325155,0.00037029,254.1446398661287,251.81639475866538,246.00468707888834
642,7/21/2022,253.470001,-0.00436966,0.000324683,0.000362906,252.2342761633986,249.91146026177663,244.18685462165473
643,7/22/2022,253.990005,0.002049439,0.000324183,0.000365529,251.1327056658781,248.82511291000245,243.1207211348367
644,7/25/2022,250.380005,-0.014315132,0.000324014,0.000342733,251.66217262505393,249.35640215560116,243.60032786484743
645,7/26/2022,257.089996,0.026446419,0.000324566,0.000383204,248.0698658335255,245.79796185733065,240.17054668703108
646,7/27/2022,258.890015,0.006977116,0.000324131,0.000393411,254.7325006561244,252.3877498476261,246.59276757004773
647,7/28/2022,263.459991,0.017498201,0.000324081,0.000419848,256.5232289876644,254.17189526953663,248.35880139782412
648,7/29/2022,263.369995,-0.000341651,0.000323582,0.000418673,261.05633539119157,258.65514446818503,252.70840615843392
649,8/1/2022,264.230011,0.003260109,0.000323096,0.000423051,260.955571820264,258.56274189941416,252.64476605383132
650,8/2/2022,261.049988,-0.012108064,0.00032284,0.000403773,261.81598295615527,259.42610855588174,253.47217006870048
651,8/3/2022,262.089996,0.003976027,0.000322364,0.00040926,258.6613594920816,256.2836230147971,250.39056555790307
652,8/4/2022,260.640015,-0.005547739,0.000321924,0.000400124,259.690001090746,257.3174437305457,251.43996965326147
653,8/5/2022,259.230011,-0.005424461,0.000321483,0.000391204,258.27033871005517,255.9119588956969,250.0631214353131
654,8/8/2022,256.799988,-0.009418216,0.000321138,0.000376205,256.8617989591766,254.5194900036534,248.69412756686765
655,8/9/2022,260.059998,0.012614841,0.000320876,0.00039489,254.45505798939698,252.12138340796122,246.34476099599303
656,8/10/2022,261.359985,0.004986344,0.000320419,0.000401889,257.6910786653502,255.33256091190472,249.46553134846422
657,8/11/2022,259.279999,-0.007990155,0.000320038,0.000389116,258.9947751015113,256.6291576043014,250.7724209207491
658,8/12/2022,262.179993,0.011122709,0.000319727,0.000405428,256.91682407022205,254.57105543648353,248.75615577761613
659,8/15/2022,265.440002,0.01235757,0.000319458,0.000423565,259.8091539385171,257.4354642507631,251.54533894373645
660,8/16/2022,266.290009,0.00319714,0.000318985,0.000427767,263.0303240036988,260.6324360205508,254.71469876316698
661,8/17/2022,266.820007,0.001988326,0.000318507,0.000430128,263.8813854767718,261.48021261294974,255.51383528205795
662,8/18/2022,266.579987,-0.000899963,0.000318028,0.000428119,264.41100170274103,262.00791996900267,256.08709400794675
663,8/19/2022,266.540009,-0.000149977,0.000317549,0.000427247,264.1725958464711,261.76680339893875,255.81271579459025
664,8/22/2022,262.950012,-0.013560414,0.000317365,0.000406181,264.13325344708056,261.7341879430006,255.78240075995691
665,8/23/2022,260.540009,-0.009207511,0.000317026,0.000391725,260.5709493661356,258.1991344896974,252.30692637113745
666,8/24/2022,260.859985,0.001227373,0.000316552,0.000392979,258.18471190793434,255.83123000176232,250.01393488809802
667,8/25/2022,262.559998,0.006495812,0.000316133,0.000402129,258.4990244125042,256.15465246998633,250.33343344604586
668,8/26/2022,256.950012,-0.02159806,0.000316383,0.000369195,260.1888141152137,257.8275228420835,251.9871022355507
669,8/29/2022,255.660004,-0.005033108,0.000315954,0.000361119,254.61819644242337,252.3139166560047,246.57996312093746
670,8/30/2022,253.490005,-0.008524058,0.0003156,0.000347858,253.33960094582756,251.0401809436583,245.34023409785792
671,8/31/2022,252.279999,-0.004784816,0.000315168,0.000340209,251.18587216641077,248.90983835161816,243.25969604281704
672,9/1/2022,256.470001,0.016472125,0.000315086,0.000364215,249.98714281908443,247.73006136313242,242.13779857811372
673,9/2/2022,254.509995,-0.007671594,0.000314714,0.000352274,254.13983993982248,251.83908461049938,246.14034211693243
674,9/6/2022,254.389999,-0.00047159,0.000314248,0.000351052,252.20165624140674,249.9206184219969,244.30133931283007
675,9/7/2022,258.420013,0.0157177,0.000314132,0.000373817,252.07915612733967,249.80045753048287,244.16061148337337
676,9/8/2022,260.079987,0.006403007,0.000313721,0.000382736,256.09151166808255,253.77747945572267,248.0398766019039
677,9/9/2022,259.519989,-0.002155497,0.000313267,0.000378987,257.72984195687906,255.4060729701032,249.6296589891349
678,9/12/2022,260.369995,0.003269949,0.000312817,0.000383251,257.1724948760616,254.85371930163217,249.12976800095774
679,9/13/2022,254.330002,-0.023471033,0.000313193,0.000348119,258.020116584788,255.69579201450495,249.92348513500284
680,9/14/2022,255.720001,0.005450456,0.000312771,0.000355623,252.02257023084866,249.75043534239842,244.10664262117302
681,9/15/2022,253.470001,-0.008837623,0.000312435,0.000342123,253.39901506518754,251.10803590679424,245.4423889395637
682,9/16/2022,254.910004,0.005665081,0.000312019,0.000349928,251.1663739702677,248.90036841457297,243.31080241802056
683,9/19/2022,257.01001,0.008204476,0.000311652,0.000361428,252.61429501148416,250.34605982284808,244.69007820924907
684,9/20/2022,255.399994,-0.006284113,0.000311261,0.000351713,254.69500034053308,252.40754490427926,246.7436010083552
685,9/21/2022,251.080002,-0.017059299,0.000311248,0.000326295,253.10269752864122,250.819987164311,245.1414828679155
686,9/22/2022,247.940002,-0.012584832,0.000311037,0.000307474,248.81482507811273,246.5767941043633,241.01250943317157
687,9/23/2022,245.949997,-0.008058538,0.000310686,0.000295297,245.68945383331018,243.48170659709805,238.00075188733754
688,9/26/2022,243.759995,-0.008944137,0.000310359,0.000281867,243.7216879689161,241.52874106179178,236.11970355961822
689,9/27/2022,236.699997,-0.02939061,0.000311184,0.000238801,241.5548322701559,239.38860895814787,234.01562426528403
690,9/28/2022,236.940002,0.001013449,0.000310734,0.000239924,234.54419548243828,232.42867325431635,227.2111938462847
691,9/29/2022,234.399994,-0.010777921,0.00031046,0.000223979,234.78519974214092,232.66778474337826,227.42351336614948
692,9/30/2022,230.740005,-0.015737475,0.000310379,0.000200913,232.2537353522841,230.17141622581693,224.99684043790677
