,Date,COST,PDR,VAR,AVG,VAR70,VAR85,VAR99
222,11/17/2020,381.920013,0.005592705,0.000365984,0.001217142,376.36716544775635,372.70173141080784,363.6239381699033
223,11/18/2020,382.230011,0.000811354,0.000364343,0.001215322,378.5117268076506,374.79588673444346,365.6937877354836
224,11/19/2020,383.540009,0.003421391,0.000362738,0.001225171,378.8225107434519,375.13445391319476,366.00766541833065
225,11/20/2020,381.119995,-0.006329668,0.000361379,0.001191594,380.12967718797,376.4279822883642,367.2532758389867
226,11/23/2020,381.709991,0.001546861,0.00035978,0.001193166,377.70648837443986,374.05073187350933,365.0039359697543
227,11/24/2020,384.220001,0.006554173,0.000358321,0.001216783,378.31599441502976,374.661578666656,365.6383667524088
228,11/25/2020,387.75,0.009145494,0.000357024,0.001251558,380.8130406636044,377.1353437621848,367.997170097378
229,11/27/2020,388.390015,0.001649226,0.000355466,0.001253294,384.32613701260505,380.62337385055946,371.4629214383755
230,11/30/2020,391.769989,0.008664877,0.000354158,0.001285518,384.98247420518834,381.2878856107052,372.1614034997146
231,12/1/2020,387.559998,-0.010804234,0.000353255,0.001233182,388.35954266692573,384.63474966208764,375.40423136340775
232,12/2/2020,383.5,-0.01053105,0.000352326,0.001182474,384.1705834461778,380.49489182545494,371.3341339285553
233,12/3/2020,374.049988,-0.024950175,0.000353733,0.001070317,380.1318560606156,376.49984556997316,367.55583105558804
234,12/4/2020,373.429993,-0.001658894,0.000352253,0.001058653,370.7158326553467,367.16689134912093,358.34340448208724
235,12/7/2020,373.329987,-0.00026784,0.000350761,0.001053009,370.1031922636746,366.56112252565964,357.80312054437775
236,12/8/2020,377.600006,0.011372738,0.000349724,0.001096736,370.03109852278766,366.50776169100544,357.73177299115
237,12/9/2020,374.290009,-0.008804528,0.000348661,0.001054959,374.2604575297793,370.6886722849487,361.8396204261257
238,12/10/2020,372.790009,-0.00401564,0.000347303,0.001033654,370.9722690189376,367.46004169572944,358.67374994351553
239,12/11/2020,375.100006,0.006177391,0.00034596,0.001055176,369.48694630660543,365.98211827295495,357.24756374888926
240,12/14/2020,374.380005,-0.001921335,0.000344556,0.001042774,371.78190000236845,368.26511065140033,359.573544552278
241,12/15/2020,371.880005,-0.006700103,0.000343374,0.001010646,371.0907921449305,367.58556872410094,358.87696537512676
242,12/16/2020,369.440002,-0.006582884,0.000342192,0.000979267,368.5882908022918,365.1083767811098,356.4783214286102
243,12/17/2020,370.290009,0.002298156,0.000340791,0.000984695,366.17388786433565,362.71450587733483,354.1659215183555
244,12/18/2020,367.0,-0.008924659,0.000339795,0.000944083,367.0362588072404,363.57656081213446,355.0557047545227
245,12/21/2020,364.970001,-0.005546687,0.000338579,0.00091759,363.77025792405027,360.3373892063421,351.8137591534048
246,12/22/2020,362.029999,-0.008088083,0.000337531,0.000880981,361.7169167268889,358.32575717244123,349.88238049384415
247,12/23/2020,361.890015,-0.000386739,0.000336171,0.000875849,358.8124030882422,355.4561181140131,347.1017181674703
248,12/24/2020,364.579987,0.007405631,0.000334987,0.000902179,358.6861146901483,355.33070191013314,347.04852519187557
249,12/28/2020,371.059998,0.017617799,0.000334759,0.00096931,361.3599176237411,357.97990423357334,349.62608104240195
250,12/29/2020,372.720001,0.004463701,0.000333469,0.000983287,367.795159303226,364.3656180381823,355.961661325071
251,12/30/2020,374.450012,0.004630845,0.000332193,0.000997819,369.47224157946454,366.02686612321884,357.52564280478765
252,12/31/2020,376.779999,0.006203145,0.000330982,0.001018475,371.18865867608423,367.72947750702053,359.18353075486704
253,1/4/2021,380.149994,0.008904436,0.000329919,0.001049645,373.52082311031955,370.0515395255753,361.4280979231661
254,1/5/2021,375.73999,-0.011668508,0.000329254,0.000999574,376.87919809181614,373.37932618835794,364.7389008663907
255,1/6/2021,370.019989,-0.01534036,0.000329006,0.000935496,372.4871763292723,369.04526369154377,360.5172900256572
256,1/7/2021,367.920013,-0.00569147,0.000327891,0.000909609,366.80393222865405,363.41333836112165,355.01922616679104
257,1/8/2021,369.940002,0.005475277,0.000326696,0.000927374,364.7124096508706,361.3508224999568,353.03235692662565
258,1/11/2021,364.01001,-0.016159468,0.000326557,0.000861146,366.72769876487115,363.36905517123125,355.01791221510894
259,1/12/2021,364.200012,0.000521833,0.000325297,0.000859836,360.81201965355467,357.49268981464786,349.2705404215909
260,1/13/2021,366.950012,0.007522431,0.000324216,0.000885461,361.0274787782927,357.71650722876615,349.49617834117294
261,1/14/2021,362.350006,-0.01261502,0.000323669,0.000833735,363.7559673622213,360.40850252291295,352.11136023966907
262,1/15/2021,362.160004,-0.000524498,0.000322441,0.000828551,359.2032586466145,355.90699811267916,347.70564516612103
263,1/19/2021,354.470001,-0.021462395,0.000323097,0.000743795,359.00338015423284,355.7167112578304,347.55914743178664
264,1/20/2021,361.299988,0.019084886,0.000323143,0.000813269,351.3551248487537,348.1336461263384,340.15823092508623
265,1/21/2021,362.799988,0.00414308,0.000321965,0.000825834,358.1317355606024,354.84949964480927,346.7210832854165
266,1/22/2021,362.299988,-0.00137912,0.000320773,0.000817545,359.64275511080393,356.3558529037593,348.2338106022173
267,1/25/2021,361.880005,-0.001159886,0.000319586,0.000810139,359.14452047210835,355.8677190123351,347.77695306182903
