,Date,NKE,PDR,VAR,AVG,VAR70,VAR85,VAR99
229,11/27/2020,134.25,-0.009563015,0.000731176,0.001191144,133.7470273034644,131.89982644824647,127.3762818399828
230,11/30/2020,134.699997,0.003346328,0.000728017,0.001200515,132.47688849804953,130.6546931722825,126.16018502063817
231,12/1/2020,135.440002,0.005478691,0.000724945,0.001219035,132.90948383747758,131.0873181438608,126.61896787185319
232,12/2/2020,135.580002,0.001033134,0.00072182,0.001218234,133.6477304349797,131.81951723157238,127.31487555713154
233,12/3/2020,136.960007,0.010127077,0.000719061,0.001256469,133.79618288767102,131.9695233810275,127.47126989036498
234,12/4/2020,137.190002,0.001677877,0.000715989,0.00125827,135.16855953322784,133.32782907421978,128.80093928629526
235,12/7/2020,138.75,0.011306912,0.00071337,0.00130103,135.39530095134725,133.55818032194708,129.0509099230071
236,12/8/2020,139.119995,0.002663081,0.000710355,0.001306802,136.9489889813818,135.09079468507048,130.51299965772102
237,12/9/2020,138.789993,-0.002374885,0.000707415,0.001291267,137.31949160093782,135.46258833591386,130.86457905926252
238,12/10/2020,137.580002,-0.008756368,0.000704865,0.00124905,136.99113527589606,135.13381542480144,130.58187156140457
239,12/11/2020,137.410004,-0.001236394,0.000701942,0.001238651,135.79648611923508,133.9618319534252,129.4688012357691
240,12/14/2020,136.279999,-0.008257601,0.000699391,0.001199083,135.63438121779947,133.80726884952787,129.2718856724546
241,12/15/2020,139.389999,0.022564167,0.000698375,0.001287735,134.52081546480557,132.71662961059639,128.26083232929128
242,12/16/2020,138.339996,-0.007561358,0.000695812,0.001251168,137.61031787390226,135.75695933633605,131.21806724114168
243,12/17/2020,140.5,0.015493095,0.000693779,0.001309777,136.5676885569722,134.73821937844974,130.22531802730117
244,12/18/2020,137.279999,-0.02318486,0.000693385,0.001209389,138.7112904507527,136.8492049432394,132.29524405566434
245,12/21/2020,144.020004,0.047929578,0.000699428,0.001400084,135.51054620978422,133.7049755753957,129.23374294752819
246,12/22/2020,142.449997,-0.010961167,0.000697203,0.001349835,142.18189608217583,140.2666338381955,135.56676459439345
247,12/23/2020,141.759995,-0.004855588,0.000694536,0.001324712,140.63517525162365,138.74393089301387,134.11276086527232
248,12/24/2020,141.600006,-0.001129228,0.000691759,0.001314817,139.94489294299055,138.06895008497895,133.4629032294095
249,12/28/2020,142.429993,0.005844378,0.000689063,0.001333008,139.7978629816441,137.9326574533333,133.3212187134812
250,12/29/2020,141.570007,-0.006056258,0.000686525,0.001303451,140.62343570536513,138.7462144865886,134.11601195677412
251,12/30/2020,141.580002,7.06e-05,0.000683795,0.001298539,139.77739224466976,137.92292924687544,133.33219756919937
252,12/31/2020,141.470001,-0.000777255,0.000681099,0.001290302,139.7884651853771,137.92663615603504,133.35595689636145
253,1/4/2021,140.100006,-0.009731191,0.000678885,0.001246739,139.68448113947576,137.82644790133585,133.26946744616762
254,1/5/2021,141.229996,0.008033243,0.000676393,0.001273457,138.3258710603774,136.4869451061055,131.97290988385902
255,1/6/2021,142.350006,0.007899117,0.000673912,0.00129944,139.4454316180687,137.6054020391899,133.10024488142957
256,1/7/2021,144.949997,0.018099979,0.000672378,0.001365067,140.55807170668737,138.71206807126674,134.14930555371717
257,1/8/2021,146.350006,0.009612219,0.000670025,0.001397157,143.13622180119472,141.25655013863567,136.58971543344595
258,1/11/2021,147.050003,0.004771631,0.000667472,0.001410237,144.5300688955105,142.62528180803042,137.93144411353447
259,1/12/2021,145.050003,-0.013694154,0.000665772,0.001351918,145.23487134357728,143.327247451553,138.6187453231017
260,1/13/2021,143.039993,-0.013954269,0.000664109,0.001293049,143.24959198823683,141.3686206621742,136.72961279866982
261,1/14/2021,141.300003,-0.012238952,0.000662264,0.001241202,141.2528569248813,139.39985240758134,134.81842381868498
262,1/15/2021,140.720001,-0.004113203,0.000659845,0.001220765,139.52620500262174,137.70111698332252,133.2207734355385
263,1/19/2021,139.270004,-0.010357584,0.000657844,0.001176741,138.9609924238271,137.14847587966477,132.68887215562924
264,1/20/2021,142.800003,0.025030547,0.000657499,0.001267096,137.53092986224178,135.7332392412728,131.32430852556448
265,1/21/2021,141.610001,-0.008368264,0.000655367,0.001230736,141.02241767327922,139.18808520433487,134.63943650453658
