,Date,CHS,PDR,VAR,AVG,VAR70,VAR85,VAR99
227,11/24/2020,1.6,-0.100975917,0.005346232,-0.003681158,1.6935441999882948,1.6314491758514404,1.4842452498937093
228,11/25/2020,1.62,0.01242252,0.005323916,-0.003610528,1.5302721227841225,1.4738628587088647,1.3413040774984835
229,11/27/2020,1.62,0.0,0.005300724,-0.003594761,1.5495244479582644,1.4927721707768347,1.3587503776428111
230,11/30/2020,1.51,-0.070316498,0.005296949,-0.003884856,1.5498051066521812,1.4931190933943033,1.3592761676886946
231,12/1/2020,1.58,0.045315196,0.005284452,-0.003671868,1.443985508598915,1.391319347013009,1.2668864431213607
232,12/2/2020,1.7,0.073203404,0.005287038,-0.00334051,1.511397312403878,1.456344876091941,1.3258665270576055
233,12/3/2020,1.65,-0.029852963,0.00526735,-0.003454297,1.6268097979731955,1.5673243866238613,1.4265673588380827
234,12/4/2020,1.63,-0.012195273,0.005245165,-0.003491651,1.578726894879474,1.520998651809673,1.3851303968821147
235,12/7/2020,1.6,-0.018576386,0.00522381,-0.003555842,1.5597950939961045,1.5029593545467534,1.368327466208695
236,12/8/2020,1.62,0.01242252,0.005202752,-0.003488137,1.5309832147748526,1.4755398123825956,1.3442718028934997
237,12/9/2020,1.6,-0.01242252,0.005181135,-0.003525835,1.5503300161028435,1.4942182403413216,1.3614305073860045
238,12/10/2020,1.55,-0.031748698,0.005162698,-0.003644418,1.531234590607913,1.47592714042761,1.3451357753439708
239,12/11/2020,1.48,-0.046212843,0.005148647,-0.003822529,1.4833975534487853,1.4297089039741826,1.3028507058709613
240,12/14/2020,1.46,-0.013605652,0.005127591,-0.003863292,1.4163777368188102,1.3652509064289868,1.2444460992558075
241,12/15/2020,1.51,0.033673215,0.005112137,-0.003707539,1.3970562860288303,1.346818041103981,1.2284694642327254
242,12/16/2020,1.59,0.051624365,0.005103612,-0.003478894,1.4453577900807473,1.393386486307787,1.2702990051009506
243,12/17/2020,1.6,0.006269613,0.005082999,-0.003438777,1.522386705772036,1.4676245132973789,1.3387198158952376
