,Date,FNMA,PDR,VAR,AVG,VAR70,VAR85,VAR99
225,11/20/2020,2.35,0.228476897,0.001986375,-0.001549142,1.8228527487587034,1.7841436088551106,1.6900540303407503
226,11/23/2020,2.5,0.061875404,0.001995306,-0.001268503,2.289536677377166,2.2378578866462018,2.113308683932506
227,11/24/2020,2.45,-0.020202707,0.001988089,-0.001351913,2.4366908673436605,2.381581367194895,2.2477875201304083
228,11/25/2020,2.56,0.043919234,0.001988319,-0.001153355,2.387801547013247,2.3338343196736906,2.2027911548116337
229,11/27/2020,2.67,0.042071214,0.001987759,-0.000964602,2.4954030250862265,2.4393117437096716,2.3026466999024073
230,11/30/2020,3.0,0.116533816,0.002038881,-0.000453739,2.603248405019495,2.5445872219934973,2.4020552760522236
231,12/1/2020,2.72,-0.097980408,0.002071052,-0.000875933,2.9254421307476757,2.858579744311108,2.697131057223992
232,12/2/2020,2.52,-0.076372979,0.002086587,-0.001201351,2.6507545487488753,2.5898338278934463,2.44156407887161
233,12/3/2020,2.72,0.076372979,0.002103348,-0.000868414,2.454963483330203,2.3980246292869674,2.261500747805018
234,12/4/2020,2.75,0.010969031,0.002094956,-0.000817826,2.6503381334040768,2.588536528911867,2.4395470735907336
235,12/7/2020,2.75,0.0,0.002086044,-0.000814346,2.679679080136889,2.617611568140477,2.467497324545029
236,12/8/2020,2.69,-0.022059718,0.002079109,-0.000904369,2.6798288256405423,2.6179067843523764,2.4680289716772617
237,12/9/2020,2.83,0.050735518,0.002081541,-0.000686479,2.6213761192790366,2.5609954455302537,2.4142936766590397
238,12/10/2020,2.78,-0.017825784,0.002074024,-0.000758493,2.758262949778732,2.694588714418095,2.540703426757769
239,12/11/2020,2.79,0.003590668,0.002065425,-0.000740296,2.709637372445887,2.6472236580387207,2.496338059003762
240,12/14/2020,2.74,-0.018083675,0.002058067,-0.00081256,2.7196158200943694,2.6567155931429767,2.5056145157693086
241,12/15/2020,2.28,-0.183782477,0.002187864,-0.001571771,2.6707864528872216,2.6095148734577456,2.461278510221539
242,12/16/2020,2.39,0.047117923,0.002188579,-0.001370574,2.2189783273164165,2.1665086919985304,2.0391607200172044
243,12/17/2020,2.4,0.004175371,0.002179698,-0.001347751,2.326235918753182,2.2713241702346445,2.137933479555818
244,12/18/2020,2.59,0.076189138,0.002195303,-0.001029977,2.336330423427517,2.281168844263857,2.1479866972726143
245,12/21/2020,2.49,-0.039375165,0.00219232,-0.001186488,2.5219358248580184,2.4622843823042975,2.317449009549502
246,12/22/2020,2.42,-0.02851517,0.002186432,-0.00129758,2.4240760269820614,2.3665051429630695,2.2274102054415312
247,12/23/2020,2.4,-0.008298803,0.002177777,-0.001325925,2.355627136837701,2.3000158474598384,2.165822658229548
248,12/24/2020,2.3,-0.042559614,0.002175824,-0.00149219,2.336165116151699,2.280882177636724,2.1477186403839346
249,12/28/2020,2.27,-0.013129291,0.002167628,-0.001538926,2.2385663665738282,2.1859469944668066,2.0584025368316623
250,12/29/2020,2.35,0.034635497,0.002164171,-0.001394228,2.2093600085134417,2.1572801475302046,2.0320143135542805
251,12/30/2020,2.36,0.004246291,0.002155675,-0.001371756,2.287687462005504,2.2339412914374135,2.103900891226437
252,12/31/2020,2.39,0.012631747,0.002147895,-0.001316186,2.2975094997533696,2.2435861572115683,2.1126049797317763
253,1/4/2021,2.39,0.0,0.002139412,-0.001310984,2.3270489831739405,2.272363640702593,2.1410681657858404
254,1/5/2021,2.32,-0.02972618,0.002134156,-0.001422855,2.327242279550606,2.2727589653109246,2.141027062937229
255,1/6/2021,2.2,-0.053109825,0.002136222,-0.001625549,2.258625145781113,2.2059147763064115,2.0787129841647074
256,1/7/2021,2.01,-0.090322638,0.002158489,-0.001972022,2.1413814122974077,2.09124627795631,1.9704098322759602
257,1/8/2021,1.96,-0.025190249,0.002152179,-0.002062365,1.9555609233910156,1.9096258296381816,1.7986560042849264
258,1/11/2021,2.07,0.054604134,0.002156235,-0.001842727,1.9066686365153425,1.8619808903655173,1.7530676467791257
259,1/12/2021,2.06,-0.004842624,0.002147945,-0.00185431,2.014384890684468,1.9670360220379943,1.8529271202854436
260,1/13/2021,2.03,-0.01467019,0.002140313,-0.001903602,2.0046732806526224,1.9578532839342675,1.8439408371732045
